,name,place_id,types,lat,lng,rating,user_ratings_total
612,水火同源,ChIJDVzTQ4uNbjQRszyuCGYsW1s,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3221314,120.4850429,4.0,8799.0
613,紫雲殿仙祖廟,ChIJ_V3ABUeNbjQR3W_5y4tnAKs,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3239211,120.51295079999998,4.3,56.0
614,王金河醫師故居,ChIJETP_ssQqbDQRIotksu0BlWE,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.2694956,120.1238843,4.1,17.0
615,新塭體育運動公園,ChIJaWuv9f-BbjQR-eM3fd2_ilE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.332880300000006,120.1600313,3.9,58.0
616,義竹修緣禪寺,ChIJm5XXRfODbjQRcJ5Qu3bPPDM,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3347198,120.2440904,4.5,131.0
617,鹽水 武廟,ChIJWfuxqhGEbjQRWk6fFM2j-XA,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.32382339999999,120.2657785,4.5,417.0
618,鹽水火車站（自行車漫遊步道）,ChIJY7YBHhCEbjQRbpzCTK_Cvx8,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3227778,120.2627778,4.2,239.0
619,天鵝湖公園,ChIJb-PaVr2FbjQRPd4K3hK46YU,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3313928,120.3178534,3.9,2288.0
620,代天府,ChIJIRs0-6WPbjQRxIGL2gdyBY4,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.33500549999999,120.3777209,4.8,13.0
621,許秀才創意花園,ChIJQxd9FRyPbjQRtEx9Y3FlyYE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3131404,120.3853455,4.5,90.0
622,白河大仙寺,ChIJDVzTQ4uNbjQRB2ApYuqc4Ts,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.3395544,120.474241,4.4,1479.0
623,大成殿,ChIJzd4WnWeNbjQRp6cFDNVFRLM,"['tourist_attraction', 'point_of_interest', 'establishment']",23.33732789999999,120.5038602,3.7,27.0
624,關子嶺風景區,ChIJ331OhV2NbjQRikT5l58LVTI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.33763799999999,120.505575,4.2,480.0
625,嶺頂公園,ChIJhdYlbWeNbjQRJAkOZ-PTAqE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3381209,120.5035702,3.9,1034.0
626,雙春濱海遊憩區,ChIJHz5OY6wrbDQRyHaCjB-vUYA,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3055013,120.1126365,3.9,740.0
627,好美里3D海洋世界戶外美術館,ChIJ9eC0Qu0pbDQRP-2Q5u8dY-g,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3366445,120.1377206,3.9,3405.0
628,天兵天將廟,ChIJNyAbFNqBbjQRRfmhmbV1vCk,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.29989969999999,120.1681783,3.0,2.0
629,鹽水神社,ChIJDaWm4RaEbjQRqhMwHfRU1d4,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3230603,120.2713982,4.2,44.0
630,南瀛綠都心公園,ChIJxY96odyFbjQR9qK4I3lE_A4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.30936,120.315088,4.2,2360.0
631,太康綠色隧道,ChIJ-S3fHgyGbjQRrecuh9P2kXE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.291083,120.325962,4.1,47.0
632,廚餘倉庫,ChIJa2oBR0GPbjQRBQSP3WZiCbs,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3041396,120.3608892,4.6,21.0
633,東山三寶阿公觀光果園,ChIJXZayxjyPbjQRLuedKXLWvQ0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.331522,120.40906509999998,5.0,2.0
634,蓮圃園蓮產品DIY觀光工廠,ChIJje7FHgyObjQRO4lrsLqgyiE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3453372,120.4337456,3.8,82.0
635,湯泉美地溫泉會館,ChIJAdfICACUbjQRip73EN8e3Mk,"['tourist_attraction', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",23.34015729999999,120.5048305,3.4,482.0
636,紅葉公園,ChIJ99OxQF6NbjQROQl8o1d45Fc,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.342147,120.505728,3.9,518.0
